Number of Students,Academic Year,Dom Ireland GB,Isced Discipline,Institute New Combined,County
7,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,University College Dublin,Donegal
3,2018/2019,Ireland,(0711) Chemical engineering and processes,"National University of Ireland, Galway",Donegal
1,2018/2019,Ireland,(0711) Chemical engineering and processes,Technological University Dublin,Donegal
8,2018/2019,Ireland,(0711) Chemical engineering and processes,University College Dublin,Donegal
1,2018/2019,Ireland,(0711) Chemical engineering and processes,University of Limerick,Donegal
4,2018/2019,Ireland,(0712) Environmental protection technology,IT Sligo,Donegal
7,2018/2019,Ireland,(0713) Electricity and energy,Galway-Mayo IT,Donegal
1,2018/2019,Ireland,(0713) Electricity and energy,Limerick IT,Donegal
3,2018/2019,Ireland,(0713) Electricity and energy,"National University of Ireland, Galway",Donegal
3,2018/2019,Ireland,(0713) Electricity and energy,Technological University Dublin,Donegal
3,2018/2019,Ireland,(0714) Electronics and automation,Dublin City University,Donegal
2,2018/2019,Ireland,(0714) Electronics and automation,Galway-Mayo IT,Donegal
1,2018/2019,Ireland,(0714) Electronics and automation,IT Carlow,Donegal
18,2018/2019,Ireland,(0714) Electronics and automation,IT Sligo,Donegal
31,2018/2019,Ireland,(0714) Electronics and automation,Letterkenny IT,Donegal
15,2018/2019,Ireland,(0714) Electronics and automation,Maynooth University,Donegal
6,2018/2019,Ireland,(0714) Electronics and automation,"National University of Ireland, Galway",Donegal
5,2018/2019,Ireland,(0714) Electronics and automation,Technological University Dublin,Donegal
3,2018/2019,Ireland,(0714) Electronics and automation,University of Limerick,Donegal
1,2018/2019,Ireland,(0715) Mechanics and metal trades,Cork IT,Donegal
3,2018/2019,Ireland,(0715) Mechanics and metal trades,Dublin City University,Donegal
13,2018/2019,Ireland,(0715) Mechanics and metal trades,Galway-Mayo IT,Donegal
15,2018/2019,Ireland,(0715) Mechanics and metal trades,IT Sligo,Donegal
53,2018/2019,Ireland,(0715) Mechanics and metal trades,Letterkenny IT,Donegal
2,2018/2019,Ireland,(0715) Mechanics and metal trades,Limerick IT,Donegal
1,2018/2019,Ireland,(0715) Mechanics and metal trades,"National University of Ireland, Galway",Donegal
3,2018/2019,Ireland,(0715) Mechanics and metal trades,Technological University Dublin,Donegal
5,2018/2019,Ireland,(0715) Mechanics and metal trades,University College Dublin,Donegal
13,2018/2019,Ireland,"(0716) Motor vehicles, ships and aircraft",Cork IT,Donegal
7,2018/2019,Ireland,"(0716) Motor vehicles, ships and aircraft",Dublin City University,Donegal
1,2018/2019,Ireland,"(0716) Motor vehicles, ships and aircraft",Galway-Mayo IT,Donegal
4,2018/2019,Ireland,"(0716) Motor vehicles, ships and aircraft",IT Carlow,Donegal
6,2018/2019,Ireland,"(0716) Motor vehicles, ships and aircraft",Technological University Dublin,Donegal
1,2018/2019,Ireland,"(0716) Motor vehicles, ships and aircraft",University of Limerick,Donegal
3,2018/2019,Ireland,(0720) Manufacturing and processing not further defined or elsewhere classified,Cork IT,Donegal
5,2018/2019,Ireland,(0720) Manufacturing and processing not further defined or elsewhere classified,Galway-Mayo IT,Donegal
1,2018/2019,Ireland,(0720) Manufacturing and processing not further defined or elsewhere classified,Technological University Dublin,Donegal
4,2018/2019,Ireland,(0720) Manufacturing and processing not further defined or elsewhere classified,University of Limerick,Donegal
2,2018/2019,Ireland,(0721) Food processing,Galway-Mayo IT,Donegal
3,2018/2019,Ireland,(0721) Food processing,IT Sligo,Donegal
7,2018/2019,Ireland,(0721) Food processing,Letterkenny IT,Donegal
5,2018/2019,Ireland,(0721) Food processing,"St. Angela's College of Home Economics, Sligo",Donegal
5,2018/2019,Ireland,(0721) Food processing,Technological University Dublin,Donegal
1,2018/2019,Ireland,(0721) Food processing,University College Cork,Donegal
1,2018/2019,Ireland,"(0722) Materials (glass, paper, plastic and wood)",Technological University Dublin,Donegal
2,2018/2019,Ireland,"(0722) Materials (glass, paper, plastic and wood)",University of Limerick,Donegal
80,2018/2019,Ireland,(0730) Architecture and construction not further defined or elsewhere classified,Letterkenny IT,Donegal
4,2018/2019,Ireland,(0730) Architecture and construction not further defined or elsewhere classified,Technological University Dublin,Donegal
1,2018/2019,Ireland,(0730) Architecture and construction not further defined or elsewhere classified,University College Cork,Donegal
1,2018/2019,Ireland,(0731) Architecture and town planning,Cork IT,Donegal
1,2018/2019,Ireland,(0731) Architecture and town planning,Galway-Mayo IT,Donegal
9,2018/2019,Ireland,(0731) Architecture and town planning,IT Sligo,Donegal
16,2018/2019,Ireland,(0731) Architecture and town planning,Letterkenny IT,Donegal
8,2018/2019,Ireland,(0731) Architecture and town planning,Technological University Dublin,Donegal
7,2018/2019,Ireland,(0731) Architecture and town planning,University College Dublin,Donegal
1,2018/2019,Ireland,(0732) Building and civil engineering,Cork IT,Donegal
1,2018/2019,Ireland,(0732) Building and civil engineering,Dundalk IT,Donegal
25,2018/2019,Ireland,(0732) Building and civil engineering,Galway-Mayo IT,Donegal
8,2018/2019,Ireland,(0732) Building and civil engineering,IT Carlow,Donegal
30,2018/2019,Ireland,(0732) Building and civil engineering,IT Sligo,Donegal
99,2018/2019,Ireland,(0732) Building and civil engineering,Letterkenny IT,Donegal
11,2018/2019,Ireland,(0732) Building and civil engineering,"National University of Ireland, Galway",Donegal
13,2018/2019,Ireland,(0732) Building and civil engineering,Technological University Dublin,Donegal
5,2018/2019,Ireland,(0732) Building and civil engineering,University College Dublin,Donegal
1,2018/2019,Ireland,(0732) Building and civil engineering,University of Limerick,Donegal
1,2018/2019,Ireland,"(0788) Interdisciplinary programmes and qualifications involving engineering, manufacturing and construction",Galway-Mayo IT,Donegal
4,2018/2019,Ireland,(0811) Crop and livestock production,Dundalk IT,Donegal
7,2018/2019,Ireland,(0811) Crop and livestock production,Galway-Mayo IT,Donegal
8,2018/2019,Ireland,(0811) Crop and livestock production,University College Dublin,Donegal
1,2018/2019,Ireland,(0812) Horticulture,Waterford IT,Donegal
1,2018/2019,Ireland,(0819) Agriculture not further defined or elsewhere classified,IT Tralee,Donegal
89,2018/2019,Ireland,(0819) Agriculture not further defined or elsewhere classified,Letterkenny IT,Donegal
1,2018/2019,Ireland,(0821) Forestry,University College Dublin,Donegal
2,2018/2019,Ireland,(0821) Forestry,Waterford IT,Donegal
1,2018/2019,Ireland,(0841) Veterinary,Athlone IT,Donegal
2,2018/2019,Ireland,(0841) Veterinary,Dundalk IT,Donegal
1,2018/2019,Ireland,(0841) Veterinary,IT Tralee,Donegal
38,2018/2019,Ireland,(0841) Veterinary,Letterkenny IT,Donegal
14,2018/2019,Ireland,(0841) Veterinary,University College Dublin,Donegal
2,2018/2019,Ireland,"(0888) Interdisciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary",University College Dublin,Donegal
2,2018/2019,Ireland,(0910) Health not further defined or elsewhere classified,Athlone IT,Donegal
1,2018/2019,Ireland,(0910) Health not further defined or elsewhere classified,Galway-Mayo IT,Donegal
53,2018/2019,Ireland,(0910) Health not further defined or elsewhere classified,IT Sligo,Donegal
151,2018/2019,Ireland,(0910) Health not further defined or elsewhere classified,Letterkenny IT,Donegal
10,2018/2019,Ireland,(0910) Health not further defined or elsewhere classified,Maynooth University,Donegal
3,2018/2019,Ireland,(0910) Health not further defined or elsewhere classified,"National University of Ireland, Galway",Donegal
3,2018/2019,Ireland,(0910) Health not further defined or elsewhere classified,Royal College of Surgeons,Donegal
3,2018/2019,Ireland,(0910) Health not further defined or elsewhere classified,"St. Angela's College of Home Economics, Sligo",Donegal
5,2018/2019,Ireland,(0910) Health not further defined or elsewhere classified,Trinity College Dublin,Donegal
4,2018/2019,Ireland,(0910) Health not further defined or elsewhere classified,University College Cork,Donegal
5,2018/2019,Ireland,(0910) Health not further defined or elsewhere classified,University of Limerick,Donegal
2,2018/2019,Ireland,(0910) Health not further defined or elsewhere classified,Waterford IT,Donegal
20,2018/2019,Ireland,(0911) Dental studies,Letterkenny IT,Donegal
3,2018/2019,Ireland,(0911) Dental studies,Trinity College Dublin,Donegal
2,2018/2019,Ireland,(0911) Dental studies,University College Cork,Donegal
1,2018/2019,Ireland,(0912) Medicine,Dublin City University,Donegal
28,2018/2019,Ireland,(0912) Medicine,"National University of Ireland, Galway",Donegal
2,2018/2019,Ireland,(0912) Medicine,Royal College of Surgeons,Donegal
9,2018/2019,Ireland,(0912) Medicine,Trinity College Dublin,Donegal
7,2018/2019,Ireland,(0912) Medicine,University College Cork,Donegal
32,2018/2019,Ireland,(0912) Medicine,University College Dublin,Donegal
5,2018/2019,Ireland,(0912) Medicine,University of Limerick,Donegal
1,2018/2019,Ireland,(0913) Nursing and midwifery,Athlone IT,Donegal
12,2018/2019,Ireland,(0913) Nursing and midwifery,Dublin City University,Donegal
5,2018/2019,Ireland,(0913) Nursing and midwifery,Dundalk IT,Donegal
4,2018/2019,Ireland,(0913) Nursing and midwifery,Galway-Mayo IT,Donegal
189,2018/2019,Ireland,(0913) Nursing and midwifery,Letterkenny IT,Donegal
33,2018/2019,Ireland,(0913) Nursing and midwifery,"National University of Ireland, Galway",Donegal
6,2018/2019,Ireland,(0913) Nursing and midwifery,Royal College of Surgeons,Donegal
34,2018/2019,Ireland,(0913) Nursing and midwifery,"St. Angela's College of Home Economics, Sligo",Donegal
11,2018/2019,Ireland,(0913) Nursing and midwifery,Trinity College Dublin,Donegal
2,2018/2019,Ireland,(0913) Nursing and midwifery,University College Cork,Donegal
26,2018/2019,Ireland,(0913) Nursing and midwifery,University College Dublin,Donegal
3,2018/2019,Ireland,(0913) Nursing and midwifery,University of Limerick,Donegal
1,2018/2019,Ireland,(0914) Medical diagnostic and treatment technology,Dublin City University,Donegal
6,2018/2019,Ireland,(0914) Medical diagnostic and treatment technology,Galway-Mayo IT,Donegal
18,2018/2019,Ireland,(0914) Medical diagnostic and treatment technology,IT Sligo,Donegal
2,2018/2019,Ireland,(0914) Medical diagnostic and treatment technology,"National University of Ireland, Galway",Donegal
8,2018/2019,Ireland,(0914) Medical diagnostic and treatment technology,Technological University Dublin,Donegal
3,2018/2019,Ireland,(0914) Medical diagnostic and treatment technology,Trinity College Dublin,Donegal
10,2018/2019,Ireland,(0914) Medical diagnostic and treatment technology,University College Dublin,Donegal
2,2018/2019,Ireland,(0915) Therapy and rehabilitation,Athlone IT,Donegal
12,2018/2019,Ireland,(0915) Therapy and rehabilitation,Dublin City University,Donegal
2,2018/2019,Ireland,(0915) Therapy and rehabilitation,IT Carlow,Donegal
13,2018/2019,Ireland,(0915) Therapy and rehabilitation,Letterkenny IT,Donegal
21,2018/2019,Ireland,(0915) Therapy and rehabilitation,"National University of Ireland, Galway",Donegal
2,2018/2019,Ireland,(0915) Therapy and rehabilitation,Royal College of Surgeons,Donegal
6,2018/2019,Ireland,(0915) Therapy and rehabilitation,Technological University Dublin,Donegal
13,2018/2019,Ireland,(0915) Therapy and rehabilitation,Trinity College Dublin,Donegal
1,2018/2019,Ireland,(0915) Therapy and rehabilitation,University College Cork,Donegal
15,2018/2019,Ireland,(0915) Therapy and rehabilitation,University College Dublin,Donegal
1,2018/2019,Ireland,(0915) Therapy and rehabilitation,University of Limerick,Donegal
15,2018/2019,Ireland,(0916) Pharmacy,Letterkenny IT,Donegal
2,2018/2019,Ireland,(0916) Pharmacy,Royal College of Surgeons,Donegal
6,2018/2019,Ireland,(0916) Pharmacy,Trinity College Dublin,Donegal
1,2018/2019,Ireland,(0922) Child care and youth services,Athlone IT,Donegal
2,2018/2019,Ireland,(0922) Child care and youth services,Dundalk IT,Donegal
1,2018/2019,Ireland,(0922) Child care and youth services,IT Carlow,Donegal
79,2018/2019,Ireland,(0922) Child care and youth services,IT Sligo,Donegal
193,2018/2019,Ireland,(0922) Child care and youth services,Letterkenny IT,Donegal
3,2018/2019,Ireland,(0922) Child care and youth services,Maynooth University,Donegal
1,2018/2019,Ireland,(0922) Child care and youth services,Royal College of Surgeons,Donegal
5,2018/2019,Ireland,(0922) Child care and youth services,University College Cork,Donegal
2,2018/2019,Ireland,(0923) Social work and counselling,Athlone IT,Donegal
7,2018/2019,Ireland,(0923) Social work and counselling,Galway-Mayo IT,Donegal
16,2018/2019,Ireland,(0923) Social work and counselling,IT Carlow,Donegal
23,2018/2019,Ireland,(0923) Social work and counselling,Letterkenny IT,Donegal
1,2018/2019,Ireland,(0923) Social work and counselling,Limerick IT,Donegal
3,2018/2019,Ireland,(0923) Social work and counselling,Maynooth University,Donegal
3,2018/2019,Ireland,(0923) Social work and counselling,"National University of Ireland, Galway",Donegal
1,2018/2019,Ireland,(0923) Social work and counselling,Royal College of Surgeons,Donegal
2,2018/2019,Ireland,(0923) Social work and counselling,Technological University Dublin,Donegal
